Date,Enquiries,TV_Spends,Print_Spends,Radio_Spends,BTL_Spends,Search_Spends,Facebook_Spends,Youtube_Spends,Outdoor_Spends
2017-04-01,93335,72040000.0,13234667.633,0.0,0,0.0,0.0,0.0,0
2017-05-01,81410,65496712.6749999,17173804.1976697,0.0,0,0.0,0.0,0.0,0
2017-06-01,100755,22166303.5137,21680177.4649936,870480.0,0,0.0,0.0,0.0,0
2017-07-01,88794,8493680.50239996,8581721.75455363,0.0,0,0.0,0.0,0.0,0
2017-08-01,104674,53599227.5796,27874138.6609171,0.0,0,0.0,0.0,0.0,0
2017-09-01,136822,72453403.1455999,34031153.833287,478820.0,0,0.0,0.0,0.0,0
2017-10-01,166147,54837862.7124,23486002.4723589,409500.0,0,0.0,0.0,0.0,0
2017-11-01,94155,0.0,9872151.49341325,552000.0,0,0.0,0.0,0.0,0
2017-12-01,92406,3045095.53700001,9757946.78596072,0.0,0,0.0,0.0,0.0,0
2018-01-01,110029,44818886.7783001,28466487.451252,0.0,0,0.0,0.0,0.0,0
2018-02-01,93451,2479365.4414,14788662.4867868,0.0,0,0.0,0.0,0.0,0
2018-03-01,113941,7035471.44760001,28898827.4221653,0.0,0,0.0,0.0,0.0,0
2018-04-01,86259,120950012.72365,24018939.7963891,0.0,0,0.0,0.0,0.0,0
2018-05-01,90561,76194368.1851674,20372306.2051216,0.0,0,0.0,0.0,0.0,0
2018-06-01,98552,167647.05885,30889820.168621,0.0,0,0.0,0.0,0.0,0
2018-07-01,107260,58658329.7408668,29011058.4970176,0.0,0,0.0,0.0,0.0,0
2018-08-01,112261,15526115.0172167,40324389.2181467,0.0,0,0.0,0.0,0.0,0
2018-09-01,103615,3303876.27263335,21882651.2339751,0.0,0,0.0,0.0,0.0,0
2018-10-01,148571,45724078.6650169,105365886.438497,0.0,0,0.0,0.0,0.0,8012080
2018-11-01,134990,11554116.2917333,51358906.4382114,0.0,0,0.0,0.0,0.0,696074
2018-12-01,82214,3753780.64695003,10783755.6842828,132375.0,0,0.0,0.0,0.0,0
2019-01-01,93891,8304612.24283331,16719688.8710817,1938430.956,0,0.0,0.0,0.0,0
2019-02-01,92266,1457275.53120001,26024465.588425,133434.0,0,0.0,0.0,0.0,0
2019-03-01,99833,46286673.1652167,26635857.735412,46182.5,0,0.0,0.0,0.0,16575052
2019-04-01,118753,89669106.8846435,29441428.9252641,891450.0,0,0.0,0.0,0.0,0
2019-05-01,109681,29971777.0583985,20726129.094952,0.0,0,0.0,0.0,0.0,0
2019-06-01,112996,1650822.00352377,23990796.1584288,0.0,0,0.0,0.0,0.0,21468503
2019-07-01,118821,1835828.19666059,25799751.4590268,0.0,0,0.0,0.0,0.0,0
2019-08-01,118890,6306089.75830441,19884840.7756336,0.0,0,0.0,0.0,0.0,2623953
2019-09-01,142516,15395235.9453866,39417778.0098605,0.0,0,0.0,0.0,0.0,19190086
2019-10-01,208119,52244056.6783065,58168085.9482389,1240656.6214,0,0.0,0.0,0.0,10622654
2019-11-01,103488,325294.13933333,2601924.82410117,0.0,0,0.0,0.0,0.0,0
2019-12-01,97949,325882.374666664,9863005.75662344,0.0,0,0.0,0.0,0.0,0
2020-01-01,97738,28012478.6055,11825544.8164327,0.0,0,0.0,0.0,0.0,0
2020-02-01,96053,920017.001580704,10265360.7065117,0.0,0,0.0,0.0,0.0,0
2020-03-01,89060,6929708.16354659,17375786.0082942,0.0,0,0.0,0.0,0.0,869557
2020-04-01,4889,0.0,221785.182232469,0.0,0,0.0,0.0,0.0,0
2020-05-01,37546,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2020-06-01,91463,0.0,123873.96508521,401925.895200001,0,0.0,0.0,0.0,0
2020-07-01,98472,13091405.165145,10960025.744334,0.0,0,0.0,0.0,0.0,0
2020-08-01,106309,18854807.7520035,18773999.7052562,123529.455000002,0,0.0,0.0,0.0,0
2020-09-01,105939,12182139.4101762,12372536.1630892,420753.555600001,0,0.0,0.0,0.0,0
2020-10-01,173803,85290349.0993638,44768780.2011319,1785356.317,0,0.0,0.0,0.0,146549
2020-11-01,182312,54214195.7570176,23497888.3775536,452078.0024,0,0.0,0.0,0.0,119904
2020-12-01,133472,5187196.50395002,7780747.52587697,0.0,0,0.0,0.0,0.0,0
2021-01-01,152205,51646378.1945502,26492856.9232717,0.0,0,0.0,0.0,0.0,0
2021-02-01,142365,32108920.8888,15056314.6514049,0.0,0,0.0,0.0,0.0,0
2021-03-01,137142,12901278.2823,16188438.3365037,0.0,0,0.0,0.0,0.0,2337019
2021-04-01,90142,1724424.69760356,17583915.9835938,0.0,9001861,0.0,0.0,0.0,3716304
2021-05-01,31374,5950326.24534171,834510.240903534,0.0,2397619,0.0,0.0,0.0,2421738
2021-06-01,82495,46840428.7242029,16926941.4903478,0.0,7048526,0.0,0.0,0.0,1396973
2021-07-01,110190,8443046.7456,22021441.7233692,658658.835000001,16520359,0.0,0.0,0.0,1142978
2021-08-01,113628,11088363.374988,14087065.1006454,928407.384400001,18122618,0.0,0.0,0.0,1540626
2021-09-01,112320,14488507.682,15488722.0966311,0.0,39516313,0.0,0.0,0.0,4015796
2021-10-01,151587,45090844.9184001,57582887.1987059,734373.744000002,21124612,1352702.61,1496517.99302398,1171464.148512,20997926
2021-11-01,127817,731781.02958132,3509671.65355089,0.0,3561600,90257.39,293152.5078518,693125.19569,41878563
2021-12-01,82419,1082352.9412,895988.308174364,0.0,0,72693.97,205672.49614585,700140.322388,0
2022-01-01,83318,0.0,2268283.79995069,557812.976200001,0,136050.9,308878.75258453,466291.351732,0
2022-02-01,82635,0.0,1717147.62012879,140678.834,46323619,159714.85,329299.99690603,1117712.345762,0
2022-03-01,108338,0.0,764338.762095778,0.0,2948443,414993.12,1003142.64730759,2020039.509466,5116082
2022-04-01,96529,7486073.5034,4802149.35297843,93731.7720000003,30086438,277198.72,1829088.46079206,2498308.426467,4199461
2022-05-01,96183,21374374.0652,3741132.00861955,0.0,19144839,351862.39,1809161.95417847,1812096.90354,4594449
2022-06-01,103221,0.0,1035744.46958293,0.0,8014009,315899.17,2513045.3925089,1870440.687028,3677601
2022-07-01,95759,2472187.0734,2556716.08312626,0.0,9091120,241574.15,1970602.04720426,1043809.26175,0
2022-08-01,106201,6777400.04560007,4930662.34327971,0.0,25996392,145323.91,1188509.26250581,120260.14792,0
2022-09-01,114229,8624408.8107,17815228.1933888,0.0,13007157,277864.18,1787711.36461685,191188.125955,5571142
2022-10-01,190002,56981381.437432,24275866.9898604,0.0,22736050,597888.05,2267496.66955965,6630247.961245,8986351
2022-11-01,78085,0.0,11957.9609958973,0.0,15536974,547010.27,300229.13675328,0.0,0
2022-12-01,77945,0.0,1383801.31195335,0.0,7017873,545165.39,348467.23409653,0.0,0
2023-01-01,86364,0.0,9308568.01382836,0.0,12624358,554100.44,300354.26859783,0.0,1319323
2023-02-01,78660,22709145.3705238,857333.29628763,0.0,5719304,565751.8,648821.4698619,0.0,5065238
2023-03-01,179546,38309628.0576738,27631720.3629439,0.0,25051495,1022627.57,1655859.57270616,0.0,22764892
2023-04-01,123760,0.0,4802452.20004917,0.0,0,270871.15,1071992.04764705,0.0,15633371
2023-05-01,92646,0.0,7541872.00281299,0.0,0,177738.05,943791.30593931,0.0,4000628
2023-06-01,108729,20854903.9155525,4030630.43340715,0.0,0,242420.09,677178.15610843,883099.15,3119494
2023-07-01,122864,0.0,0.0,0.0,0,254011.41,954632.92380986,1098882.26,1294929
